marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,20.5998,25.8998,5.300000000000001,1,1,1,5.300000000000001
North West,30.8997,36.7663,5.866600000000002,1,2,1,11.166600000000003
North West,77.5992,81.3992,3.799999999999997,1,3,2,14.9666
North West,133.399,135.532,2.1330000000000098,1,4,3,17.09960000000001
North West,179.165,184.465,5.300000000000011,1,5,3,22.39960000000002
North West,191.165,197.465,6.300000000000011,1,6,4,28.699600000000032
South East,13.2332,14.7665,1.5333000000000006,1,1,1,1.5333000000000006
South East,27.5997,30.0997,2.5,1,2,1,4.0333000000000006
South East,46.8329,48.1662,1.3333000000000013,1,3,1,5.366600000000002
South East,90.4658,94.2324,3.766599999999997,1,4,2,9.133199999999999
South East,96.0991,99.2323,3.133199999999988,1,5,2,12.266399999999987
South East,166.332,168.165,1.8329999999999984,1,6,3,14.099399999999985
South East,201.731,201.731,0,1,7,4,14.099399999999985
